roadId,sourceLocationId,destLocationId,distanceMeters,congestionFactor,isBidirectional
1,1,2,500.0,1.0,true
2,2,7,300.0,1.2,true
3,8,3,180.0,1.0,true
4,4,5,300.0,1.2,true
5,5,6,200.0,1.0,true
6,6,8,220.0,1.0,true
7,6,7,250.0,1.0,true
8,3,14,200.0,1.0,true
9,9,10,150.0,1.0,true
10,10,11,100.0,1.0,true
11,11,12,700.0,1.4,true
12,12,13,200.0,1.0,true
13,13,14,300.0,1.2,true
14,14,15,450.0,1.0,true
15,15,16,800.0,1.6,true
16,16,17,1000.0,1.8,true
17,17,18,900.0,1.5,true
18,18,19,500.0,1.1,true
19,19,20,350.0,1.0,true
20,20,21,250.0,1.2,true
21,21,22,150.0,1.0,true
22,22,23,400.0,1.3,true
23,23,24,300.0,1.1,true
24,24,25,200.0,1.0,true
25,25,26,150.0,1.2,true
26,26,27,100.0,1.0,true
27,27,28,120.0,1.1,true
28,28,29,300.0,1.0,true
29,29,30,250.0,1.3,true
30,30,31,400.0,1.0,true
31,31,32,800.0,1.4,true
32,32,33,150.0,1.0,true
33,33,34,100.0,1.0,true
34,34,35,600.0,1.2,true
35,35,36,200.0,1.0,true
36,36,37,700.0,1.5,true
37,37,38,150.0,1.0,true
38,38,39,800.0,1.3,true
39,39,40,200.0,1.0,true
40,40,41,450.0,1.1,true
41,41,42,100.0,1.0,true
42,42,43,300.0,1.2,true
43,43,44,400.0,1.0,true
44,44,45,1200.0,1.5,true
45,45,46,500.0,1.1,true
46,46,47,900.0,1.4,true
47,47,48,350.0,1.0,true
48,48,49,250.0,1.2,true
49,49,50,400.0,1.0,true
50,50,1,600.0,1.3,true
51,1,3,700.0,1.1,true
52,2,4,650.0,1.0,true
53,3,5,550.0,1.2,true
54,4,6,450.0,1.0,true
55,5,7,350.0,1.1,true
56,6,8,250.0,1.0,true
57,7,9,750.0,1.3,true
58,8,10,650.0,1.0,true
59,9,11,250.0,1.0,true
60,10,12,750.0,1.4,true
61,11,13,850.0,1.0,true
62,12,14,450.0,1.2,true
63,13,15,550.0,1.0,true
64,14,16,950.0,1.5,true
65,15,17,1100.0,1.7,true
66,16,18,1050.0,1.4,true
67,17,19,950.0,1.1,true
68,18,20,850.0,1.0,true
69,19,21,750.0,1.2,true
70,20,22,650.0,1.0,true
71,21,23,550.0,1.3,true
72,22,24,450.0,1.1,true
73,23,25,350.0,1.0,true
74,24,26,250.0,1.2,true
75,25,27,150.0,1.0,true
76,26,28,250.0,1.1,true
77,27,29,350.0,1.0,true
78,28,30,450.0,1.3,true
79,29,31,550.0,1.0,true
80,30,32,950.0,1.4,true
81,31,33,850.0,1.0,true
82,32,34,250.0,1.0,true
83,33,35,750.0,1.2,true
84,34,36,650.0,1.0,true
85,35,37,850.0,1.5,true
86,36,38,750.0,1.0,true
87,37,39,950.0,1.3,true
88,38,40,850.0,1.0,true
89,39,41,750.0,1.1,true
90,40,42,650.0,1.0,true
91,41,43,550.0,1.2,true
92,42,44,450.0,1.0,true
93,43,45,1350.0,1.5,true
94,44,46,1250.0,1.1,true
95,45,47,1450.0,1.4,true
96,46,48,1350.0,1.0,true
97,47,49,1250.0,1.2,true
98,48,50,1150.0,1.0,true
99,49,1,1050.0,1.3,true
100,50,2,950.0,1.1,true
